year,month,day,catch_scrubbed,trips_scrubbed
2001,6,1,1327,30
2001,6,2,602.8,9
2001,6,3,4188,55
2001,6,4,3814,72
2001,6,5,3312,65
2001,6,6,3007,57
2001,6,7,2505,50
2001,6,8,2519,42
2001,6,9,851.8,13
2001,6,10,4269,63
2001,6,11,5285,75
2001,6,12,6183,77
2001,6,13,4131,67
2001,6,14,4351,48
2001,6,15,8063,53
2001,6,16,8707,36
2001,6,17,12458,84
2001,6,18,16221,129
2001,6,19,17698,130
2001,6,20,16471,117
2001,6,21,16896,107
2001,6,22,15400,81
2001,6,23,6892,28
2001,6,24,24860,95
2001,6,25,38597,141
2001,6,26,34534,140
2001,6,27,37155,144
2001,6,28,40321,141
2001,6,29,27672,97
2001,6,30,16169,42
2001,7,1,44632,120
2001,7,2,60373,179
2001,7,3,73019,196
2001,7,4,61943,189
2001,7,5,60393,166
2001,7,6,47437,141
2001,7,7,13658,41
2001,7,8,64763,166
2001,7,9,79351,221
2001,7,10,83852,216
2001,7,11,78363,211
2001,7,12,71994,191
2001,7,13,66576,144
2001,7,14,25750,46
2001,7,15,67022,182
2001,7,16,81772,239
2001,7,17,78911,231
2001,7,18,74821,219
2001,7,19,66741,213
2001,7,20,62394,158
2001,7,21,11247,47
2001,7,22,40432,157
2001,7,23,56463,196
2001,7,24,52609,185
2001,7,25,56682,190
2001,7,26,58010,203
2001,7,27,55315,177
2001,7,28,20637,63
2001,7,29,38178,152
2001,7,30,52786,195
2001,7,31,55333,192
2001,8,1,65623,216
2001,8,2,64587,206
2001,8,3,50764,158
2001,8,4,15025,40
2001,8,5,43698,154
2001,8,6,57035,225
2001,8,7,57195,224
2001,8,8,53057,212
2001,8,9,45259,188
2001,8,10,40758,147
2001,8,11,8226,28
2001,8,12,35523,135
2001,8,13,52315,222
2001,8,14,51571,232
2001,8,15,51141,236
2001,8,16,45407,213
2001,8,17,33573,142
2001,8,18,4317,32
2001,8,19,28318,138
2001,8,20,44305,208
2001,8,21,45412,221
2001,8,22,43665,209
2001,8,23,37431,178
2001,8,24,25654,122
2001,8,25,5680,28
2001,8,26,16109,111
2001,8,27,28536,176
2001,8,28,25446,164
2001,8,29,23645,140
2001,8,30,17973,121
2001,8,31,14100,85
2001,9,1,3717,19
2001,9,2,22914,111
2001,9,3,30197,166
2001,9,4,30326,168
2001,9,5,26866,165
2001,9,6,22884,133
2001,9,7,19518,104
2001,9,8,1197,11
2001,9,9,16581,99
2001,9,10,23732,158
2001,9,11,24624,161
